"約定日","受渡日","コード","銘柄名","口座区分","市場","信用区分","弁済期限","取引","売買","約定数量(株/口)","約定単価(円)","約定代金(円)","手数料(円)","税金(円)","税区分","受渡金額(円)","諸費用(円)","金利(支払)(円)","金利(受取)(円)","逆日歩(支払)(円)","逆日歩(受取)(円)","特別空売り料(円)","貸株料(円)","事務管理費(円)(税抜)","名義書換料(円)(税抜)","建約定日","建単価(円)","建手数料(円)","建手数料消費税額(円)"
"2026/03/09 09:08:28","2026/03/11","1605","ＩＮＰＥＸ","特定","東証","一般","1日","信用新規","売建","100","4,218.0","421,800","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/09 09:08:32","2026/03/11","1605","ＩＮＰＥＸ","特定","東証","一般","1日","信用返済","買埋","100","4,211.0","421,100","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/09 09:09:00","2026/03/11","6040","日本スキー場開発","特定","東証","一般","1日","信用新規","買建","100","440.0","44,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/09 09:09:36","2026/03/11","1605","ＩＮＰＥＸ","特定","東証","一般","1日","信用新規","買建","100","4,186.0","418,600","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/09 09:09:38","2026/03/11","1605","ＩＮＰＥＸ","特定","JAX","一般","1日","信用返済","売埋","100","4,196.0","419,600","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/09 09:10:17","2026/03/11","1605","ＩＮＰＥＸ","特定","東証","一般","1日","信用新規","売建","100","4,203.0","420,300","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/09 09:10:22","2026/03/11","1605","ＩＮＰＥＸ","特定","東証","一般","1日","信用返済","買埋","100","4,211.0","421,100","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/09 09:12:42","2026/03/11","1605","ＩＮＰＥＸ","特定","東証","一般","1日","信用新規","売建","100","4,152.0","415,200","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/09 09:12:53","2026/03/11","1605","ＩＮＰＥＸ","特定","JAX","一般","1日","信用返済","買埋","100","4,140.0","414,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/09 09:13:16","2026/03/11","1605","ＩＮＰＥＸ","特定","東証","一般","1日","信用新規","売建","100","4,154.0","415,400","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
